"p_avg","LONGITUDE","LATITUDE","GEO3major","BEDROCK","BIOME","CLAY","DENSITY","DEPTH","ELEVATION","MANPP","MAPRECIP","MATEMP","PH","SAND","SLOPE","SOC","SOIL.USDA","SOIL.WRB"
15,-93.8539,33.6597,"North America",1,6,364,133,1851,88,3589,1251,17,58,339,0,339,19,19
16,-93.8439,33.6197,"North America",1,6,364,133,3421,88,3589,1251,17,58,339,0,339,19,19
21,-93.8439,33.6197,"North America",1,6,364,133,3421,88,3589,1251,17,58,339,0,339,19,19
10,-93.8403,33.9069,"North America",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
12,-93.8403,33.9069,"North America",1,6,240,139,1639,125,5437,1339,16,54,319,1,319,19,19
10,-93.8264,34.0794,"North America",5,6,137,138,994,171,3986,1390,16,52,317,1,317,3,3
13,-93.8264,34.0794,"North America",5,6,137,138,994,171,3986,1390,16,52,317,1,317,3,3
7,-93.8219,33.5783,"North America",1,6,236,144,2315,80,3280,1223,17,62,283,0,283,19,19
17,-93.8219,33.5783,"North America",1,6,236,144,2315,80,3280,1223,17,62,283,0,283,19,19
0.2,-93.7979736,32.3712769,"North America",1,6,299,143,2551,61,39371,1273,18,55,360,1,360,19,19
0.3,-93.7979736,32.3712769,"North America",1,6,299,143,2551,61,39371,1273,18,55,360,1,360,19,19
10,-93.7979736,32.3712769,"North America",1,6,299,143,2551,61,39371,1273,18,55,360,1,360,19,19
5,-93.7753,33.5844,"North America",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
6,-93.7753,33.5844,"North America",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
41,-93.7711,33.5503,"North America",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
80,-93.7711,33.5503,"North America",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
33,-93.7686,33.55,"North America",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
37,-93.7686,33.55,"North America",1,6,373,135,2315,83,4921,1253,17,62,336,0,336,19,19
