"LONGITUDE","LATITUDE","Total_P","SOC","SAND","CLAY","DEPTH","MAT","MAP","PH","NPP","SLOPE","ELEVATION","BIOMES","BEDROCK","SOIL_TYPE","WRB_SOIL_TYPE"
30.5,13.3,40.17059,1.047245,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,41.57371,1.786518,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,60.50827,2.620722,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,61.24669,1.258273,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,38.92785,1.160918,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,53.19398,1.06994,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,43.43064,1.064218,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,48.91448,1.460579,783.6207,136.2069,15,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,42.66021,0.9633898,783.6207,136.2069,40,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,37.16895,1.04283,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,63.19916,3.118186,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,43.39177,1.273614,783.6207,136.2069,25,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
30.5,13.3,77.38754,3.59208,783.6207,136.2069,5,27.51146,284.25,7.791379,699.0231,1,518,9,8,13,"Arenosols"
